N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
""
1,삼성전자,"88,700","1,900",+2.19%,100,"5,295,197","5,969,783",55.43,"15,821,106",24.22,8.69,
2,SK하이닉스,"133,500","5,000",+3.89%,"5,000","971,883","728,002",50.22,"3,396,624",33.87,4.25,
3,LG화학,"984,000","9,000",+0.92%,"5,000","694,629","70,592",43.59,"171,374",91.94,1.84,
4,삼성전자우,"78,400",800,+1.03%,100,"645,143","822,887",80.16,"1,664,414",21.41,N/A,
5,NAVER,"348,000","4,500",+1.31%,100,"571,637","164,263",57.18,"1,083,744",69.28,10.56,
""
""
""
6,현대차,"258,500","1,500",+0.58%,"5,000","552,332","213,668",31.12,"1,075,542",61.77,4.32,
7,삼성SDI,"790,000","2,000",-0.25%,"5,000","543,240","68,765",44.68,"263,396",269.53,2.94,
8,삼성바이오로직스,"795,000","1,000",+0.13%,"2,500","526,012","66,165",10.23,"57,127",148.02,4.77,
9,셀트리온,"318,000","8,000",+2.58%,"1,000","429,293","134,998",20.48,"641,056",85.95,11.19,
10,카카오,"469,500","6,500",+1.40%,500,"415,517","88,502",33.89,"486,352",-521.09,-5.81,
""
""
""
11,기아차,"90,900","3,100",+3.53%,"5,000","368,475","405,363",35.95,"3,731,753",42.24,6.50,
12,현대모비스,"345,500","4,500",-1.29%,"5,000","328,414","95,055",41.82,"627,590",21.07,7.28,
13,LG전자,"177,500",0,0.00%,"5,000","290,475","163,648",34.15,"1,816,778",38.55,0.22,
14,삼성물산,"148,000","2,000",+1.37%,100,"276,593","186,887",15.06,"334,253",24.79,4.77,
15,SK이노베이션,"287,000","9,000",+3.24%,"5,000","265,376","92,466",23.69,"775,880",-10.92,-0.20,
""
""
""
16,LG생활건강,"1,670,000","108,000",+6.91%,"5,000","260,824","15,618",45.61,"87,487",37.42,20.32,
17,SK,"346,500","18,500",+5.64%,200,"243,798","70,360",21.94,"474,524","1,462.03",4.31,
18,POSCO,"263,000","2,000",+0.77%,"5,000","229,301","87,187",51.03,"202,527",24.09,4.18,
19,엔씨소프트,"990,000","1,000",+0.10%,500,"217,345","21,954",49.78,"50,891",38.74,14.72,
20,SK텔레콤,"259,500","5,500",+2.17%,500,"209,535","80,746",34.72,"259,505",19.11,3.92,
""
""
""
21,LG,"110,500","3,500",+3.27%,"5,000","190,676","172,557",34.77,"317,142",15.62,5.87,
22,KB금융,"44,500",450,+1.02%,"5,000","185,035","415,808",66.53,"986,288",5.43,8.92,
23,신한지주,"33,000",150,+0.46%,"5,000","170,478","516,600",58.29,"983,445",4.73,9.09,
24,삼성에스디에스,"208,000","6,000",+2.97%,500,"160,946","77,378",11.76,"176,202",30.71,11.76,
25,삼성전기,"215,000","2,500",+1.18%,"5,000","160,591","74,694",35.61,"306,761",44.05,10.18,
""
""
""
